Date,Close,Daily_Return_%,Volume,Volume_Avg20,Volume_Spike,Volatility_5d,Volatility_20d,Avg_VADER_Score,Median_VADER_Score,News_Count,Sentiment_Std,Hindi_Count,English_Avg_Score,Hindi_Avg_Score,Ticker,Sentiment_Yesterday,Return_Tomorrow,Return_Day_After,Return_Yesterday
03-07-2023,2507.276367,38.47299218,13329482,8013248.113,0,28.52164434,26.33699487,0.7157,,4,,,0.7157,,ADANI,0.7157,18.27020452,-9.594940257,-37.51358644
10-07-2023,2884.591309,18.27020452,6967441,7966896.55,0,16.62328623,24.01391257,0.7157,,4,,,0.7157,,ADANI,0.7157,-9.594940257,18.30884663,38.47299218
31-07-2023,2425.822266,-9.594940257,39358067,8705379.325,1,21.14331507,25.14984905,,,,,,,,ADANI,0.7157,18.30884663,-12.0826334,18.27020452
07-08-2023,2819.648926,18.30884663,19897501,6885560.113,0,16.55039393,19.86166285,0.0366,0.0366,4,0.04226204,0,0.0366,,ADANI,,-12.0826334,26.1117829,-9.594940257
28-08-2023,1950.474487,-12.0826334,31661637,6974749.7,1,28.90521364,22.54785534,0.5,0.5,4,0.577350269,0,0.5,,ADANI,0.0366,26.1117829,-9.332289579,18.30884663
04-09-2023,2440.435791,26.1117829,11838693,6621058.888,0,27.42988284,22.31740583,0.5,,4,,,0.5,,ADANI,0.5,-9.332289579,64.59190259,-12.0826334
11-09-2023,2212.687256,-9.332289579,1267890,5998727.5,0,15.06895103,20.57426793,0,0,2,0,0,0,,ADANI,0.5,64.59190259,-13.28611973,26.1117829
25-09-2023,3641.904053,64.59190259,3595798,5944300.75,0,30.44316988,24.90462406,0,,2,,,0,,ADANI,0,-13.28611973,-13.85554122,-9.332289579
02-10-2023,2550.138184,-13.28611973,38835742,6041808.875,1,33.97319691,26.86367481,0.07605,0.08895,4,0.11947799,0,0.07605,,ADANI,0,-13.85554122,24.46159657,64.59190259
09-10-2023,2203.14624,-13.85554122,2844507,5317075.475,0,13.60816841,26.00847232,0,0,3,0,0,0,,ADANI,0.07605,24.46159657,39.84804616,-13.28611973
30-10-2023,1981.931274,24.46159657,13946119,5108394,1,37.90816202,31.05993984,0.184242857,0,14,0.386696151,0,0.184242857,,ADANI,0,39.84804616,27.65017722,-13.85554122
06-11-2023,2853.269531,39.84804616,25245348,4734624.49,1,26.47879323,28.85447091,0.0258,0.0258,1,,0,0.0258,,ADANI,0.184242857,27.65017722,-15.34230755,24.46159657
27-11-2023,3642.203613,27.65017722,1199785,4417170.65,0,12.5113005,28.4446842,0.436171429,0.496,7,0.275952712,0,0.436171429,,ADANI,0.0258,-15.34230755,14.01639073,39.84804616
04-12-2023,2504.12915,-15.34230755,20339008,4337158.483,0,27.00422615,27.57744952,0.436171429,,7,,,0.436171429,,ADANI,0.436171429,14.01639073,11.35413386,27.65017722
11-12-2023,2855.117676,14.01639073,2017772,3875229,0,12.29328241,25.25727934,0.436171429,,7,,,0.436171429,,ADANI,0.436171429,11.35413386,-7.343591164,-15.34230755
01-01-2024,3182.222412,11.35413386,10871097,3665561.59,0,5.832011983,23.73188932,,,,,,,,ADANI,0.436171429,-7.343591164,10.58098236,14.01639073
08-01-2024,2948.038574,-7.343591164,7821672,3451595.817,1,3.568079831,15.69636577,0.3062,0.3062,2,0.433032193,0,0.3062,,ADANI,,10.58098236,-6.745081025,11.35413386
29-01-2024,3265.853516,10.58098236,6248892,2810743.45,0,4.752141081,15.41687413,0.3062,,2,,,0.3062,,ADANI,0.3062,-6.745081025,-19.23310758,-7.343591164
05-02-2024,3040.642578,-6.745081025,8912796,2485890.325,0,5.587015974,11.16147048,0,0,1,,0,0,,ADANI,0.3062,-19.23310758,22.17196582,10.58098236
12-02-2024,2455.83252,-19.23310758,3807565,2429433.4,1,8.839253777,7.004996232,0,,1,,,0,,ADANI,0,22.17196582,7.378050679,-6.745081025
26-02-2024,3000.338867,22.17196582,19725411,3343439.85,1,14.89883487,8.476907503,0,0,1,,0,0,,ADANI,0,7.378050679,-19.31322653,-19.23310758
04-03-2024,3114.456055,7.378050679,14970438,3223084.992,1,15.39523562,9.420933709,0,0,2,0,0,0,,ADANI,0,-19.31322653,25.18484871,22.17196582
11-03-2024,2512.954102,-19.31322653,4070042,3319449.3,0,15.8330523,10.78040747,0,,2,,,0,,ADANI,0,25.18484871,-21.68414991,7.378050679
01-04-2024,3142.692139,25.18484871,26802990,3608062.49,1,14.10327723,11.88317358,0,0,5,0,1,0,0,ADANI,0,-21.68414991,27.74872501,-19.31322653
08-04-2024,2493.513916,-21.68414991,5604186,4004654.113,0,7.275838513,12.06252642,0.1366,0.1366,2,0.193181573,2,0,0.1366,ADANI,0,27.74872501,-23.33580747,25.18484871
29-04-2024,3221.942383,27.74872501,7357167,3712680.813,0,12.97143162,12.54471185,0,0,2,0,2,0,0,ADANI,0.1366,-23.33580747,26.95478804,-21.68414991
06-05-2024,2521.300049,-23.33580747,16500974,3074832.067,1,4.442858166,10.34804221,0,,2,,,,0,ADANI,0,26.95478804,-6.021746066,27.74872501
27-05-2024,3200.911133,26.95478804,2078891,2917210.4,0,15.20600691,10.85367866,0,,2,,,,0,ADANI,0,-6.021746066,-15.34231738,-23.33580747
03-06-2024,2973.975586,-6.021746066,13562784,2690264.48,1,14.1012387,10.17303497,-0.3818,-0.3818,2,0,0,-0.3818,,ADANI,0,-15.34231738,30.13211127,26.95478804
10-06-2024,2505.157959,-15.34231738,2917192,2284745.7,0,9.272316638,10.47108882,-0.3818,,2,,,-0.3818,,ADANI,-0.3818,30.13211127,-7.863664382,-6.021746066
01-07-2024,3216.697266,30.13211127,8955005,2269994.913,1,17.73056305,12.03442445,-0.2931,-0.4215,6,0.572903873,0,-0.2931,,ADANI,-0.3818,-7.863664382,8.425429045,-15.34231738
08-07-2024,2968.628418,-7.863664382,4897208,2239980,0,11.50939718,11.92868462,-0.2931,,6,,,-0.2931,,ADANI,-0.2931,8.425429045,-8.210669416,30.13211127
29-07-2024,3221.692871,8.425429045,4105505,2044661.317,0,5.387085025,11.96331797,-0.2408,-0.3612,3,0.208538917,1,-0.3612,0,ADANI,-0.2931,-8.210669416,2.878770035,-7.863664382
05-08-2024,2927.648682,-8.210669416,6858051,1936153.4,0,7.523898729,11.00239299,0.0411,0.0386,6,0.323720707,0,0.0411,0,ADANI,-0.2408,2.878770035,7.583269338,8.425429045
26-08-2024,3011.928955,2.878770035,2885706,1699751.65,1,5.851123636,9.881167358,0.15044,0,5,0.229792043,0,0.15044,0,ADANI,0.0411,7.583269338,-21.47295699,-8.210669416
02-09-2024,3185.970703,7.583269338,5574546,1629976.12,0,7.564193813,9.524932147,0.15044,,5,,,0.15044,,ADANI,0.15044,-21.47295699,30.12520008,2.878770035
09-09-2024,2494.613525,-21.47295699,3379285,1517167.517,0,11.08889868,7.686345081,-0.281,-0.4215,3,0.243353138,1,-0.4215,0,ADANI,0.15044,30.12520008,-23.34120529,7.583269338
30-09-2024,3217.246826,30.12520008,12321927,1525097.788,1,17.51885361,10.20808335,0,0,1,,1,-0.4215,0,ADANI,-0.281,-23.34120529,28.92987036,-21.47295699
07-10-2024,2465.977539,-23.34120529,5416033,1666087.725,1,12.66805256,10.94958082,0,,1,,,-0.4215,0,ADANI,0,28.92987036,-1.743991986,30.12520008
28-10-2024,3204.508057,28.92987036,2746954,1683946.1,0,17.11076446,12.9165886,0.2035875,0,8,0.309821209,0,0.2035875,0,ADANI,0,-1.743991986,-22.81828882,-23.34120529
04-11-2024,3135.645508,-1.743991986,6997361,1735850.7,1,12.74224677,12.83447824,-0.2385,-0.2624,8,0.232229492,0,-0.2385,,ADANI,0.2035875,-22.81828882,26.27477045,28.92987036
11-11-2024,2456.032471,-22.81828882,1296818,1651170.375,0,6.771310348,12.71494712,0.498533333,0.54825,6,0.216982079,0,0.498533333,,ADANI,-0.2385,26.27477045,1.78926805,-1.743991986
25-11-2024,3101.349365,26.27477045,1795933,1697715.55,0,16.14424527,14.13337137,-0.008315385,0.10115,26,0.486839399,0,-0.008315385,,ADANI,0.498533333,1.78926805,-21.89493214,-22.81828882
02-12-2024,3150.188232,1.78926805,17073556,1720499.758,1,10.69975985,12.72767399,-0.5986,-0.5986,4,0.083022969,0,-0.5986,,ADANI,-0.008315385,-21.89493214,-6.248256784,26.27477045
09-12-2024,2502.859375,-21.89493214,4491028,1861989.467,0,4.316508682,11.20407942,-0.5986,,4,,,-0.5986,,ADANI,-0.5986,-6.248256784,-0.092740968,1.78926805
30-12-2024,2334.093018,-6.248256784,4365025,1890341.533,0,6.490400131,10.18328273,0,0,2,0,0,0,,ADANI,-0.5986,-0.092740968,14.78394527,-21.89493214
06-01-2025,2262,-0.092740968,5017927,1711804.79,0,10.53480463,9.608593265,0,,2,,,0,,ADANI,0,14.78394527,-11.26021327,-6.248256784
27-01-2025,2596.412842,14.78394527,1167236,1731168.95,0,13.01304357,10.62184605,0,,2,,,0,,ADANI,0,-11.26021327,-1.521407693,-0.092740968
03-02-2025,2274.199951,-11.26021327,4381744,1704199.2,0,11.22438905,8.908396126,,,,,,,,ADANI,0,-1.521407693,2.649815481,14.78394527
10-02-2025,2239.600098,-1.521407693,1035354,1576079.75,0,8.695747088,9.019317973,,,,,,,,ADANI,,2.649815481,3.345907125,-11.26021327
24-02-2025,2260.729248,2.649815481,1757737,1347860.125,0,11.23447022,9.790365164,,,,,,,,ADANI,,3.345907125,-2.821363303,-1.521407693
03-03-2025,2288.699951,3.345907125,4524820,1040356.9,0,11.06702832,10.18721849,,,,,,,,ADANI,,-2.821363303,13.72028297,2.649815481
10-03-2025,2189.800049,-2.821363303,3292611,951312.3333,1,10.4964668,10.44264802,,,,,,,,ADANI,,13.72028297,-10.34633418,3.345907125
31-03-2025,2488.166504,13.72028297,3316565,949832.525,0,9.541090729,9.926207874,,,,,,,,ADANI,,-10.34633418,1.371253973,-2.821363303
07-04-2025,2217.899902,-10.34633418,5934917,891439.44,1,7.16362728,9.193965222,,,,,,,,ADANI,,1.371253973,2.326765319,13.72028297
28-04-2025,2244.737305,1.371253973,1931046,980312.275,0,6.65518154,8.675948625,,,,,,,,ADANI,,2.326765319,-0.701323779,-10.34633418
05-05-2025,2281.399902,2.326765319,5920155,1109223.05,1,6.7343297,7.862114592,,,,,,,,ADANI,,-0.701323779,9.173831729,1.371253973
