Date,Ticker,Close,Daily_Return_%,Avg_VADER_Score,News_Count,English_Avg_Score,Hindi_Avg_Score,Volume,Volume_Spike,Language_Gap,Language_Gap_Abs,Broker_Panic_Score,Is_Outage_Day,Model_Disagreement,High_Disagreement,Hype_vs_Reality,Hype_Divergence_Score
2023-10-02,RELIANCE,1254.47583,8.241932170253108,0.042666666666666665,3.0,0.042666666666666665,,96668813,1,,,0.0,0,0.039526086088575746,0,0,-0.9573
2023-10-09,RELIANCE,1148.946045,-8.387850282998766,0.087675,8.0,0.087675,,17970986,0,,,0.0,0,0.043842711554846835,0,0,1.0877
2023-10-30,RELIANCE,1132.248657,-0.983666085064594,0.3825,25.0,0.3825,,32609780,0,,,0.0,0,0.1845870278662114,0,1,1.3662
2023-11-06,RELIANCE,1220.640503,8.417257081814778,0.5221666666666667,6.0,0.5221666666666667,,72400008,1,,,0.8,1,0.2218150756845123,0,0,-0.4778
2023-11-27,RELIANCE,1128.276978,-7.566808144821979,0.31954000000000005,5.0,0.31954000000000005,,17688773,0,,,0.0,0,0.10370495441573833,0,1,1.3195
2023-12-04,RELIANCE,1166.069336,4.358108308895291,-0.296,1.0,-0.296,,79070348,0,,,0.6,1,0.42609540248026007,1,0,-1.296
2023-12-11,RELIANCE,1203.120239,3.177418516732189,0.45204285714285714,7.0,0.45204285714285714,,9197124,0,,,0.0,0,0.3991688479147368,1,0,-0.548
2024-01-01,RELIANCE,1548.6875,26.185043756173243,0.45204285714285714,7.0,0.45204285714285714,,42251014,0,,,0.0,0,0.43188274493680534,1,0,-0.548
2024-01-08,RELIANCE,1333.324829,-14.49131286238754,0.0,1.0,0.0,,29323199,0,,,0.0,0,0.2609870652566761,0,0,1.0
2024-01-29,RELIANCE,1476.025146,10.854825386312683,0.0,1.0,0.0,,36011554,1,,,0.0,0,0.26098706525667603,0,0,-1.0
2024-02-05,RELIANCE,1510.218384,2.617917261490099,0.0,1.0,0.0,,43770992,0,,,0.0,0,0.0,0,0,-1.0
2024-02-12,RELIANCE,1303.942261,-13.65869500632434,0.36035,4.0,0.36063333333333336,0.3595,11024152,0,-0.001133333333333375,0.001133333333333375,0.0,0,0.20804816950248164,0,0,1.3604
2024-02-26,RELIANCE,1282.160156,-1.6704807913270003,0.24297857142857143,14.0,0.26166923076923077,0.0,9037536,0,-0.26166923076923077,0.26166923076923077,0.0,0,0.1837873594303878,0,0,1.243
2024-03-04,RELIANCE,1401.378052,10.258681167265902,0.24297857142857143,14.0,0.26166923076923077,0.0,103493906,1,-0.26166923076923077,0.26166923076923077,0.0,0,0.06776442588088519,0,0,-0.757
2024-03-11,RELIANCE,1318.035889,-5.947157719578733,0.0,2.0,0.0,0.0,16869482,0,0.0,0.0,0.0,0,0.14028374362159643,0,0,1.0
2024-04-01,RELIANCE,1542.607544,17.66448883784656,-0.2732,1.0,-0.2732,,77673744,1,,,0.0,0,0.25823669497043156,0,0,-1.2732
2024-04-08,RELIANCE,1303.74292,-16.225559330014438,-0.21245,2.0,-0.21245,,88461610,1,,,0.0,0,0.14344790285442768,0,0,0.7876
2024-04-29,RELIANCE,1449.372437,11.2189781051225,-0.21245,2.0,-0.21245,,31450804,0,,,0.0,0,0.03507402885326955,0,0,-1.2124
2024-05-06,RELIANCE,1316.790894,-7.556664639440203,0.129,3.0,0.129,,96171674,0,,,0.0,0,0.1971362494147977,0,0,1.129
2024-05-27,RELIANCE,1417.309937,7.633637463474141,0.0,3.0,0.0,,9047984,0,,,0.0,0,0.17241621395139534,0,0,-1.0
2024-06-03,RELIANCE,1458.997803,3.2155562105862234,-0.310075,4.0,-0.310075,,62686020,0,,,0.0,0,0.22567467781816666,0,0,-1.3101
2024-06-10,RELIANCE,1306.332642,-10.562842888855561,0.3412,1.0,0.3412,,30662723,0,,,0.0,0,0.32576143398966056,1,1,1.3412
2024-07-01,RELIANCE,1459.150024,11.784764004636592,-0.69665,2.0,-0.69665,,50688462,0,,,0.0,0,0.5245207302465111,1,0,-1.6966
2024-07-08,RELIANCE,1300.456177,-11.202503089387918,-0.5994,1.0,-0.5994,,39967882,1,,,0.0,0,0.5731955083855188,1,0,0.4006
2024-07-29,RELIANCE,1475.057373,13.313327558965394,-0.5994,1.0,-0.5994,,30786404,0,,,0.0,0,0.056147313678690525,0,0,-1.5994
2024-08-05,RELIANCE,1278.643188,-12.538599417519322,-0.38029999999999997,2.0,-0.38029999999999997,,68162214,0,,,0.0,0,0.12649744397944704,0,0,0.6197
2024-08-26,RELIANCE,1280.770386,0.1663636908219246,0.2732571428571428,7.0,0.2732571428571428,,5403074,0,,,0.0,0,0.45399563837096923,1,0,0.1069
2024-09-02,RELIANCE,1463.468262,15.43991266263005,0.15355,4.0,0.15355,,43847602,0,,,0.0,0,0.34796133921519967,1,0,-0.8464
2024-09-09,RELIANCE,1289.997925,-12.254005985242754,-0.25766666666666665,3.0,-0.25766666666666665,,37970910,0,,,0.0,0,0.27848071103601246,0,0,0.7423
2024-09-30,RELIANCE,1460.589478,13.293504243457654,0.34036,5.0,0.34036,,39997926,0,,,0.0,0,0.30595016399431463,1,0,-0.6596
2024-10-07,RELIANCE,1279.73877,-12.241738985994743,0.042666666666666665,6.0,0.042666666666666665,,56305213,1,,,0.0,0,0.2990143045259056,0,0,1.0427
2024-10-28,RELIANCE,1455.824829,13.329314434937277,0.010596875000000002,32.0,0.010596875000000002,,35002982,1,,,0.0,0,0.1818394488087497,0,0,-0.9894
2024-11-04,RELIANCE,1366.641724,-5.495145235018205,0.034708333333333334,24.0,0.034708333333333334,,41456172,0,,,0.0,0,0.016699146834231227,0,0,1.0347
2024-11-11,RELIANCE,1273.115234,-6.812219727797008,0.16839375,32.0,0.16839375,,20780925,0,,,0.0,0,0.08500294780385102,0,0,1.1684
2024-11-25,RELIANCE,1360.654175,6.875963672586116,-0.12726666666666667,3.0,-0.12726666666666667,,15012164,0,,,0.0,0,0.14805560511614468,0,0,-1.1273
2024-12-02,RELIANCE,1449.893677,7.314646776186073,-0.12726666666666667,3.0,-0.12726666666666667,,62849230,0,,,0.0,0,0.17069962115121662,0,0,-1.1273
2024-12-09,RELIANCE,1257.876221,-13.124456893316628,0.26955,4.0,0.26955,,53927280,1,,,0.0,0,0.22910220931893002,0,1,1.2696
2024-12-30,RELIANCE,1247.617065,-0.6972502572376138,0.26955,4.0,0.26955,,25110691,0,,,0.0,0,0.22910220931893002,0,1,0.9668
2025-01-06,RELIANCE,1566.099976,26.252931785381392,0.26955,4.0,0.26955,,52888081,0,,,0.0,0,0.0,0,0,-0.7304
2025-01-27,RELIANCE,1236.860107,-21.022915142423837,,,,,15486276,0,,,0.0,0,0.0,0,0,
2025-02-03,RELIANCE,1366.5,11.56898032293392,,,,,49127107,0,,,0.0,0,0.0,0,0,
2025-02-10,RELIANCE,1546.300049,13.157705744603,,,,,11389150,0,,,0.0,0,0.0,0,0,
2025-02-24,RELIANCE,1240.943848,-19.82898330552346,,,,,24773447,0,,,0.0,0,0.0,0,0,
2025-03-03,RELIANCE,1372.599976,11.96273928948591,,,,,55762784,1,,,0.0,0,0.0,0,0,
2025-03-10,RELIANCE,1538.800049,11.87045310599999,,,,,27385315,0,,,0.0,0,0.0,0,0,
2025-03-31,RELIANCE,1417.83728,-4.560637114433334,,,,,54103921,1,,,0.0,0,0.0,0,0,
2025-04-07,RELIANCE,1535.599976,9.011015108616007,,,,,48015234,0,,,0.0,0,0.0,0,0,
2025-04-28,RELIANCE,1170.923462,-25.120208737137894,,,,,18776123,0,,,0.0,0,0.0,0,0,
2025-05-05,RELIANCE,1375.0,18.20576491525009,,,,,41496013,0,,,0.0,0,0.0,0,0,
2025-05-12,RELIANCE,1540.599976,12.043634618181809,,,,,10183266,0,,,0.0,0,0.0,0,0,
2025-05-26,RELIANCE,1213.154785,-21.25439413871574,,,,,14816766,0,,,0.0,0,0.0,0,0,
2025-06-02,RELIANCE,1387.259521,15.150110766509485,,,,,52524605,0,,,0.0,0,0.0,0,0,
2025-06-09,RELIANCE,1496.099976,7.9235487355896685,,,,,29169258,1,,,0.0,0,0.0,0,0,
2025-06-30,RELIANCE,1400.40686,-2.7567370945470806,,,,,70906028,1,,,0.0,0,0.0,0,0,
2025-07-07,RELIANCE,1478.0,6.567464053401316,,,,,36293584,0,,,0.0,0,0.0,0,0,
