Date,Ticker,Close,Daily_Return_%,Avg_VADER_Score,News_Count,English_Avg_Score,Hindi_Avg_Score,Volume,Volume_Spike,Language_Gap,Language_Gap_Abs,Broker_Panic_Score,Is_Outage_Day,Model_Disagreement,High_Disagreement,Hype_vs_Reality,Hype_Divergence_Score
03-07-2023,ADANI,2507.276367,38.47299218,0.7157,4,0.7157,,13329482,0,,,0,0,0.602580476,1,0,-0.2843
10-07-2023,ADANI,2884.591309,18.27020452,0.7157,4,0.7157,,6967441,0,,,0,0,0,0,0,-0.2843
31-07-2023,ADANI,2425.822266,-9.594940257,,,,,39358067,1,,,0,0,0,0,0,
07-08-2023,ADANI,2819.648926,18.30884663,0.0366,4,0.0366,,19897501,0,,,0,0,0,0,0,-0.9634
28-08-2023,ADANI,1950.474487,-12.0826334,0.5,4,0.5,,31661637,1,,,0,0,0,0,1,1.5
04-09-2023,ADANI,2440.435791,26.1117829,0.5,4,0.5,,11838693,0,,,0,0,0.267544115,0,0,-0.5
11-09-2023,ADANI,2212.687256,-9.332289579,0,2,0,,1267890,0,,,0,0,0.288675135,0,0,1
25-09-2023,ADANI,3641.904053,64.59190259,0,2,0,,3595798,0,,,0,0,0.288675135,0,0,-1
02-10-2023,ADANI,2550.138184,-13.28611973,0.07605,4,0.07605,,38835742,1,,,0,0,0.043907488,0,0,1.076
09-10-2023,ADANI,2203.14624,-13.85554122,0,3,0,,2844507,0,,,0,0,0.043907488,0,0,1
30-10-2023,ADANI,1981.931274,24.46159657,0.184242857,14,0.184242857,,13946119,1,,,0,0,0.092587551,0,0,-0.8158
06-11-2023,ADANI,2853.269531,39.84804616,0.0258,1,0.0258,,25245348,1,,,0.8,1,0.099762392,0,0,-0.9742
27-11-2023,ADANI,3642.203613,27.65017722,0.436171429,7,0.436171429,,1199785,0,,,0,0,0.206952834,0,0,-0.5638
04-12-2023,ADANI,2504.12915,-15.34230755,0.436171429,7,0.436171429,,20339008,0,,,0.6,1,0.236928055,0,1,1.4362
11-12-2023,ADANI,2855.117676,14.01639073,0.436171429,7,0.436171429,,2017772,0,,,0,0,0,0,0,-0.5638
01-01-2024,ADANI,3182.222412,11.35413386,,,,,10871097,0,,,0,0,0,0,0,
08-01-2024,ADANI,2948.038574,-7.343591164,0.3062,2,0.3062,,7821672,1,,,0,0,0,0,1,1.3062
29-01-2024,ADANI,3265.853516,10.58098236,0.3062,2,0.3062,,6248892,0,,,0,0,0,0,0,-0.6938
05-02-2024,ADANI,3040.642578,-6.745081025,0,1,0,,8912796,0,,,0,0,0.176784652,0,0,1
12-02-2024,ADANI,2455.83252,-19.23310758,0,1,0,,3807565,1,,,0,0,0.176784652,0,0,1
26-02-2024,ADANI,3000.338867,22.17196582,0,1,0,,19725411,1,,,0,0,0,0,0,-1
04-03-2024,ADANI,3114.456055,7.378050679,0,2,0,,14970438,1,,,0,0,0,0,0,-1
11-03-2024,ADANI,2512.954102,-19.31322653,0,2,0,,4070042,0,,,0,0,0,0,0,1
01-04-2024,ADANI,3142.692139,25.18484871,0,5,0,0,26802990,1,0,0,0,0,0,0,0,-1
08-04-2024,ADANI,2493.513916,-21.68414991,0.1366,2,0,0.1366,5604186,0,0.1366,0.1366,0,0,0.078866047,0,0,1.1366
29-04-2024,ADANI,3221.942383,27.74872501,0,2,0,0,7357167,0,0,0,0,0,0.078866047,0,0,-1
06-05-2024,ADANI,2521.300049,-23.33580747,0,2,,0,16500974,1,,,0,0,0.078866047,0,0,1
27-05-2024,ADANI,3200.911133,26.95478804,0,2,,0,2078891,0,,,0,0,0,0,0,-1
03-06-2024,ADANI,2973.975586,-6.021746066,-0.3818,2,-0.3818,,13562784,1,,,0,0,0.220432333,0,0,0.6182
10-06-2024,ADANI,2505.157959,-15.34231738,-0.3818,2,-0.3818,,2917192,0,,,0,0,0.220432333,0,0,0.6182
01-07-2024,ADANI,3216.697266,30.13211127,-0.2931,6,-0.2931,,8955005,1,,,0,0,0.051210969,0,0,-1.2931
08-07-2024,ADANI,2968.628418,-7.863664382,-0.2931,6,-0.2931,,4897208,0,,,0,0,0.051210969,0,0,0.7069
29-07-2024,ADANI,3221.692871,8.425429045,-0.2408,3,-0.3612,0,4105505,0,0.3612,0.3612,0,0,0.030195419,0,0,-1.2408
05-08-2024,ADANI,2927.648682,-8.210669416,0.0411,6,0.0411,0,6858051,0,-0.0411,0.0411,0,0,0.179764911,0,0,1.0411
26-08-2024,ADANI,3011.928955,2.878770035,0.15044,5,0.15044,0,2885706,1,-0.15044,0.15044,0,0,0.201862818,0,0,-0.8496
02-09-2024,ADANI,3185.970703,7.583269338,0.15044,5,0.15044,,5574546,0,,,0,0,0.063127478,0,0,-0.8496
09-09-2024,ADANI,2494.613525,-21.47295699,-0.281,3,-0.4215,0,3379285,0,0.4215,0.4215,0,0,0.249092,0,0,0.719
30-09-2024,ADANI,3217.246826,30.12520008,0,1,-0.4215,0,12321927,1,0.4215,0.4215,0,0,0.218987696,0,0,-1
07-10-2024,ADANI,2465.977539,-23.34120529,0,1,-0.4215,0,5416033,1,0.4215,0.4215,0,0,0.162235426,0,0,1
28-10-2024,ADANI,3204.508057,28.92987036,0.2035875,8,0.2035875,0,2746954,0,-0.2035875,0.2035875,0,0,0.117541298,0,0,-0.7964
04-11-2024,ADANI,3135.645508,-1.743991986,-0.2385,8,-0.2385,,6997361,1,,,0,0,0.22127339,0,0,0.7615
11-11-2024,ADANI,2456.032471,-22.81828882,0.498533333,6,0.498533333,,1296818,0,,,0,0,0.370956542,1,0,1.4985
25-11-2024,ADANI,3101.349365,26.27477045,-0.008315385,26,-0.008315385,,1795933,0,,,0,0,0.377071769,1,0,-1.0083
02-12-2024,ADANI,3150.188232,1.78926805,-0.5986,4,-0.5986,,17073556,1,,,0,0,0.54909518,1,0,-1.5986
09-12-2024,ADANI,2502.859375,-21.89493214,-0.5986,4,-0.5986,,4491028,0,,,0,0,0.340800982,1,0,0.4014
30-12-2024,ADANI,2334.093018,-6.248256784,0,2,0,,4365025,0,,,0,0,0.345601871,1,0,1
06-01-2025,ADANI,2262,-0.092740968,0,2,0,,5017927,0,,,0,0,0.345601871,1,0,0.0927
27-01-2025,ADANI,2596.412842,14.78394527,0,2,0,,1167236,0,,,0,0,0,0,0,-1
03-02-2025,ADANI,2274.199951,-11.26021327,,,,,4381744,0,,,0,0,0,0,0,
10-02-2025,ADANI,2239.600098,-1.521407693,,,,,1035354,0,,,0,0,0,0,0,
24-02-2025,ADANI,2260.729248,2.649815481,,,,,1757737,0,,,0,0,0,0,0,
03-03-2025,ADANI,2288.699951,3.345907125,,,,,4524820,0,,,0,0,0,0,0,
10-03-2025,ADANI,2189.800049,-2.821363303,,,,,3292611,1,,,0,0,0,0,0,
31-03-2025,ADANI,2488.166504,13.72028297,,,,,3316565,0,,,0,0,0,0,0,
07-04-2025,ADANI,2217.899902,-10.34633418,,,,,5934917,1,,,0,0,0,0,0,
28-04-2025,ADANI,2244.737305,1.371253973,,,,,1931046,0,,,0,0,0,0,0,
05-05-2025,ADANI,2281.399902,2.326765319,,,,,5920155,1,,,0,0,0,0,0,
12-05-2025,ADANI,2265.399902,-0.701323779,,,,,2400781,1,,,0,0,0,0,0,
26-05-2025,ADANI,2473.223877,9.173831729,,,,,1121398,0,,,0,0,0,0,0,
02-06-2025,ADANI,2300.300049,-6.164074108,,,,,4367768,0,,,0,0,0,0,0,
09-06-2025,ADANI,2314.300049,1.804824718,,,,,2633102,1,,,0,0,0,0,0,
30-06-2025,ADANI,2351.934082,2.54037865,,,,,5310637,0,,,0,0,0,0,0,
07-07-2025,ADANI,2369.399902,3.064141881,,,,,5294688,1,,,0,0,0,0,0,
28-07-2025,ADANI,2514.003662,6.102969781,,,,,879641,0,,,0,0,0,0,0,
04-08-2025,ADANI,2524.100098,3.679550215,,,,,7120996,1,,,0,0,0,0,0,
11-08-2025,ADANI,2216.199951,-12.1984127,,,,,939764,0,,,0,0,0,0,0,
01-09-2025,ADANI,2583,17.45092706,,,,,4821518,0,,,0,0,0,0,0,
08-09-2025,ADANI,2245.199951,-12.21248145,,,,,2248862,0,,,0,0,0,0,0,
29-09-2025,ADANI,2227.196045,-0.547087667,,,,,3098629,0,,,0,0,0,0,0,
06-10-2025,ADANI,2211.600098,2.088196961,,,,,4983828,1,,,0,0,0,0,0,
27-10-2025,ADANI,2320.599609,4.928536181,,,,,4895456,1,,,0,0,0,0,0,
03-11-2025,ADANI,2398.800049,4.744803712,,,,,7552793,1,,,0,0,0,0,0,
10-11-2025,ADANI,2277.699951,-5.08031855,,,,,2173964,0,,,0,0,0,0,0,
01-12-2025,ADANI,2542.439453,11.59767995,,,,,6084310,1,,,0,0,0,0,0,
08-12-2025,ADANI,2282.399902,-10.00887776,,,,,9434548,1,,,0,0,0,0,0,
