Date,Ticker,Close,Daily_Return_%,Avg_VADER_Score,News_Count,English_Avg_Score,Hindi_Avg_Score,Volume,Volume_Spike,Language_Gap,Language_Gap_Abs,Broker_Panic_Score,Is_Outage_Day,Model_Disagreement,High_Disagreement,Hype_vs_Reality,Hype_Divergence_Score
2023-08-07,TCS,3377.626953,13.236718306050966,0.0258,2.0,0.0258,,5787196,0,,,0.0,0,0.0,0,0,-0.9742
2023-08-28,TCS,3068.800781,-8.295860410145407,,,,,6188987,1,,,0.0,0,0.0,0,0,
2023-09-04,TCS,3379.731934,10.194641914668967,0.3182,2.0,0.3182,,8910727,1,,,0.0,0,0.0,0,0,-0.6818
2023-09-11,TCS,3117.555176,-7.757324045807001,0.3182,2.0,0.3182,,2112352,0,,,0.0,0,0.0,0,0,1.3182
2023-09-25,TCS,2955.22998,-5.20681068452723,0.3054,12.0,0.3054,,3864655,1,,,0.0,0,0.007390083445627206,0,1,1.3054
2023-10-02,TCS,3197.431885,8.700046908270886,0.42028,10.0,0.42028,,8479531,0,,,0.0,0,0.0629571028558335,0,0,-0.5797
2023-10-09,TCS,3104.516846,-2.4769896536532388,0.2867,10.0,0.2867,,3186705,0,,,0.0,0,0.07233109151671913,0,1,1.2867
2023-10-30,TCS,3018.494141,-2.713949236582891,0.21363333333333334,12.0,0.21363333333333334,,6788914,0,,,0.0,0,0.10478962975267972,0,1,1.2136
2023-11-06,TCS,3392.7146,11.92121537474744,0.44694999999999996,4.0,0.44694999999999996,,8102670,0,,,0.8,1,0.11934227193400652,0,0,-0.553
2023-11-27,TCS,2998.347656,-11.623935122630114,0.44694999999999996,4.0,0.44694999999999996,,2250391,0,,,0.0,0,0.13470544030642614,0,0,1.447
2023-12-04,TCS,3290.741699,9.808454315878569,0.0,2.0,0.0,,16002348,1,,,0.6,1,0.2580467028143032,0,0,-1.0
2023-12-11,TCS,3419.909424,3.9251857731420037,0.7818,2.0,0.7818,,2236866,0,,,0.0,0,0.39223718695877546,1,0,-0.2182
